[ 0.00050356  0.00053952  0.0003417 ]
[ 0.00041364  0.00052154  0.00032372]
[ 0.0004586   0.00073736  0.00044961]
[ 0.00075534  0.00098913  0.00073736]
[ 0.00088123  0.00111502  0.00082727]
[ 0.00107906  0.00109704  0.00079131]
[ 0.00081828  0.00100712  0.00077332]
[ 0.00086324  0.00088123  0.00062945]
[ 0.00075534  0.00084526  0.00053952]
[ 0.00064743  0.00079131  0.00063844]
[ 0.00069239  0.00082727  0.00066542]
[ 0.00077332  0.00077332  0.00050356]
[ 0.00063844  0.00080929  0.00061147]
[ 0.00061147  0.0006834   0.00055752]
[ 0.00059348  0.00078232  0.00055752]
[ 0.00080929  0.00106107  0.00079131]
[ 0.00104309  0.00124092  0.00100712]
[ 0.00110603  0.00112402  0.00093518]
[ 0.00095317  0.00098913  0.00084526]
[ 0.00088123  0.00098913  0.00088123]
[ 0.00094417  0.00118696  0.00093518]
[ 0.00122293  0.00140277  0.00120495]
[ 0.00145672  0.00147471  0.00133083]
[ 0.00147471  0.00158262  0.00134881]
[ 0.00142076  0.00176246  0.00129487]
[ 0.00156463  0.00158262  0.00115099]
[ 0.00133083  0.00151067  0.00122293]
[ 0.00133083  0.00140277  0.00115099]
[ 0.00116897  0.0012589   0.00093518]
[ 0.00129487  0.00129487  0.00082727]
[ 0.00107906  0.00115099  0.00089922]
[ 0.00111502  0.00115099  0.00093518]
[ 0.0009172   0.00093518  0.00070138]
[ 0.00079131  0.00104309  0.00071938]
[ 0.00115099  0.00115099  0.00086324]
[ 0.00093518  0.00111502  0.00093518]
[ 0.00111502  0.00129487  0.00107906]
[ 0.0012589   0.00158262  0.00118696]
[ 0.00161858  0.00219408  0.00154665]
[ 0.00172649  0.00183439  0.00165455]
[ 0.00174447  0.00179842  0.00161858]
[ 0.00179842  0.00205021  0.00172649]
[ 0.00205021  0.00219408  0.00179842]
[ 0.00223005  0.00226601  0.00212214]
[ 0.00212214  0.00215811  0.0019423 ]
[ 0.00197826  0.00201424  0.00183439]
[ 0.00201424  0.00208617  0.0019423 ]
[ 0.00199625  0.00266167  0.00197826]
[ 0.00258973  0.00309329  0.00258973]
[ 0.00291345  0.00309329  0.0026257 ]
[ 0.00305732  0.00363282  0.00303934]
[ 0.00374072  0.00402847  0.00363282]
[ 0.00338104  0.00366879  0.00334507]
[ 0.00338104  0.00356088  0.00334507]
[ 0.00365081  0.00370475  0.00345297]
[ 0.00345297  0.00356088  0.00312925]
[ 0.00323716  0.00352491  0.0032012 ]
[ 0.00347096  0.00381266  0.00334507]
[ 0.00381266  0.00384863  0.00316523]
[ 0.00323716  0.003417    0.00312925]
[ 0.00323716  0.00330911  0.00291345]
[ 0.00305732  0.00330911  0.00298539]
[ 0.0032012   0.00356088  0.0032012 ]
[ 0.00356088  0.00363282  0.003417  ]
[ 0.00361483  0.0038846   0.00350693]
[ 0.00370475  0.00374072  0.00338104]
[ 0.003417    0.00377669  0.003417  ]
[ 0.00359685  0.00366879  0.003417  ]
[ 0.00345297  0.00356088  0.00330911]
[ 0.0035429   0.0038846   0.00348895]
[ 0.00384863  0.0038846   0.00363282]
[ 0.00381266  0.0038846   0.00356088]
[ 0.00357886  0.00370475  0.00338104]
[ 0.00352491  0.00357886  0.003417  ]
[ 0.00345297  0.00370475  0.003417  ]
[ 0.00372274  0.00381266  0.00365081]
[ 0.00370475  0.00370475  0.00352491]
[ 0.00363282  0.00363282  0.00329111]
[ 0.00325515  0.00327313  0.00298539]
