Date,Open,High,Low,Close,Adj Close,Volume
27/08/1991,1.892857,1.928571,1.883929,1.928571,0.314637,25088000
28/08/1991,1.928571,1.9375,1.897321,1.901786,0.310267,26896800
29/08/1991,1.901786,1.924107,1.875,1.892857,0.30881,28338800
30/08/1991,1.892857,1.901786,1.866071,1.892857,0.30881,16534000
03/09/1991,1.883929,1.901786,1.857143,1.875,0.305897,17094000
04/09/1991,1.883929,1.883929,1.834821,1.839286,0.30007,29946000
05/09/1991,1.839286,1.848214,1.8125,1.821429,0.297157,19471200
06/09/1991,1.821429,1.848214,1.803571,1.839286,0.30007,19818400
09/09/1991,1.848214,1.910714,1.839286,1.901786,0.310267,31620400
10/09/1991,1.883929,1.90625,1.776786,1.790179,0.292059,45710000
11/09/1991,1.8125,1.821429,1.767857,1.803571,0.294244,44500400
12/09/1991,1.830357,1.830357,1.776786,1.808036,0.294972,29803200
13/09/1991,1.785714,1.794643,1.732143,1.736607,0.283319,41683600
16/09/1991,1.758929,1.758929,1.660714,1.6875,0.275307,51444400
17/09/1991,1.678571,1.75,1.669643,1.75,0.285504,33852000
18/09/1991,1.741071,1.803571,1.732143,1.790179,0.292059,30338000
19/09/1991,1.794643,1.803571,1.767857,1.776786,0.289874,44584400
20/09/1991,1.776786,1.821429,1.767857,1.808036,0.294972,47037200
23/09/1991,1.785714,1.8125,1.758929,1.767857,0.288417,21915600
24/09/1991,1.767857,1.799107,1.723214,1.794643,0.292787,26524400
25/09/1991,1.794643,1.803571,1.758929,1.803571,0.294244,13616400
26/09/1991,1.794643,1.794643,1.75,1.785714,0.29133,17805200
27/09/1991,1.785714,1.8125,1.741071,1.75,0.285504,15702400
30/09/1991,1.758929,1.776786,1.75,1.767857,0.288417,15800400
01/10/1991,1.758929,1.830357,1.75,1.8125,0.2957,32844000
02/10/1991,1.848214,1.848214,1.767857,1.776786,0.289874,4496800
03/10/1991,1.785714,1.785714,1.696429,1.705357,0.27822,45250800
04/10/1991,1.714286,1.741071,1.696429,1.723214,0.281134,19843600
07/10/1991,1.714286,1.741071,1.696429,1.71875,0.280405,16175600
08/10/1991,1.71875,1.732143,1.660714,1.723214,0.281134,43064000
09/10/1991,1.723214,1.741071,1.705357,1.714286,0.279677,33185600
10/10/1991,1.741071,1.75,1.669643,1.705357,0.27822,39303600
11/10/1991,1.71875,1.745536,1.660714,1.732143,0.28259,30013200
14/10/1991,1.75,1.794643,1.741071,1.78125,0.290602,27969200
15/10/1991,1.803571,1.875,1.785714,1.875,0.305897,72052400
16/10/1991,1.875,1.928571,1.866071,1.910714,0.311723,50218000
17/10/1991,1.892857,1.901786,1.839286,1.870536,0.305168,37903600
18/10/1991,1.96875,1.982143,1.946429,1.964286,0.320463,111739600
21/10/1991,1.973214,1.995536,1.9375,1.955357,0.319007,29173200
22/10/1991,1.982143,2.008929,1.946429,1.946429,0.31755,52052000
23/10/1991,1.964286,1.973214,1.883929,1.897321,0.309538,42207200
24/10/1991,1.892857,1.901786,1.839286,1.861607,0.303712,44475200
25/10/1991,1.848214,1.866071,1.8125,1.830357,0.298614,26742800
28/10/1991,1.839286,1.848214,1.8125,1.839286,0.30007,19465600
29/10/1991,1.839286,1.857143,1.8125,1.848214,0.301527,25309200
30/10/1991,1.857143,1.883929,1.767857,1.776786,0.289874,37060800
31/10/1991,1.8125,1.848214,1.785714,1.839286,0.30007,57951600
01/11/1991,1.830357,1.857143,1.803571,1.821429,0.297157,50316000
04/11/1991,1.8125,1.8125,1.732143,1.776786,0.289874,48823600
05/11/1991,1.776786,1.803571,1.741071,1.741071,0.284047,53900000
06/11/1991,1.75,1.758929,1.696429,1.714286,0.279677,59197600
07/11/1991,1.732143,1.803571,1.723214,1.776786,0.289874,74183200
08/11/1991,1.830357,1.919643,1.821429,1.901786,0.310267,93956800
11/11/1991,1.910714,1.946429,1.901786,1.919643,0.31318,41235600
12/11/1991,1.9375,1.955357,1.919643,1.946429,0.31755,41672400
13/11/1991,1.928571,1.946429,1.910714,1.933036,0.315365,46480000
14/11/1991,1.9375,1.973214,1.928571,1.955357,0.319007,47000800
15/11/1991,1.946429,1.955357,1.776786,1.785714,0.29133,64237600
18/11/1991,1.785714,1.875,1.785714,1.861607,0.325592,59684800
19/11/1991,1.848214,1.848214,1.776786,1.830357,0.320126,71372000
20/11/1991,1.830357,1.857143,1.794643,1.803571,0.315441,42025200
21/11/1991,1.803571,1.848214,1.803571,1.821429,0.318564,26703600
22/11/1991,1.821429,1.848214,1.794643,1.830357,0.320126,24460800
25/11/1991,1.821429,1.866071,1.821429,1.830357,0.320126,19608400
26/11/1991,1.839286,1.857143,1.785714,1.839286,0.321688,34818000
27/11/1991,1.830357,1.839286,1.803571,1.821429,0.318564,15808800
29/11/1991,1.803571,1.839286,1.803571,1.8125,0.317003,8523200
02/12/1991,1.8125,1.857143,1.785714,1.848214,0.323249,29724800
03/12/1991,1.857143,1.857143,1.794643,1.803571,0.315441,25715200
04/12/1991,1.8125,1.8125,1.785714,1.803571,0.315441,20137600
05/12/1991,1.803571,1.821429,1.758929,1.785714,0.312318,24799600
06/12/1991,1.767857,1.776786,1.732143,1.741071,0.30451,49246400
09/12/1991,1.75,1.785714,1.741071,1.754464,0.306852,24458000
10/12/1991,1.75,1.767857,1.732143,1.754464,0.306852,30654400
11/12/1991,1.758929,1.776786,1.732143,1.75,0.306072,21140000
12/12/1991,1.763393,1.776786,1.75,1.763393,0.308414,22937600
13/12/1991,1.776786,1.8125,1.776786,1.799107,0.31466,23780400
16/12/1991,1.799107,1.8125,1.785714,1.803571,0.315441,19297600
17/12/1991,1.803571,1.821429,1.794643,1.803571,0.315441,24460800
18/12/1991,1.794643,1.857143,1.785714,1.848214,0.323249,46650800
19/12/1991,1.830357,1.848214,1.8125,1.8125,0.317003,28831600
20/12/1991,1.830357,1.839286,1.794643,1.794643,0.31388,32046000
23/12/1991,1.803571,1.848214,1.785714,1.839286,0.321688,25790800
24/12/1991,1.857143,1.919643,1.848214,1.866071,0.326372,47140800
26/12/1991,1.883929,1.964286,1.866071,1.959821,0.342769,33625200
27/12/1991,1.955357,1.991071,1.946429,1.964286,0.34355,41935600
30/12/1991,1.964286,2.044643,1.964286,2.026786,0.354481,45911600
31/12/1991,2.049107,2.071429,2,2.013393,0.352139,33507600
02/01/1992,1.991071,2.133929,1.982143,2.125,0.371659,58408000
03/01/1992,2.142857,2.151786,2.080357,2.107143,0.368535,47563600
06/01/1992,2.098214,2.107143,2.0625,2.071429,0.362289,28560000
07/01/1992,2.053571,2.125,2.053571,2.111607,0.369316,35366800
08/01/1992,2.089286,2.1875,2.089286,2.160714,0.377905,58186800
09/01/1992,2.160714,2.223214,2.151786,2.223214,0.388836,52127600
10/01/1992,2.196429,2.232143,2.178571,2.223214,0.388836,49056000
13/01/1992,2.223214,2.241071,2.196429,2.214286,0.387274,26964000
14/01/1992,2.223214,2.3125,2.223214,2.303571,0.40289,68451600
15/01/1992,2.303571,2.321429,2.25,2.267857,0.396644,81435200
16/01/1992,2.276786,2.294643,2.232143,2.241071,0.391959,73382400
17/01/1992,2.419643,2.464286,2.3125,2.3125,0.404452,212088800
20/01/1992,2.303571,2.330357,2.285714,2.285714,0.399767,52416000
21/01/1992,2.294643,2.294643,2.178571,2.183036,0.381809,48521200
22/01/1992,2.196429,2.276786,2.1875,2.267857,0.396644,45920000
23/01/1992,2.294643,2.3125,2.25,2.303571,0.40289,34588400
24/01/1992,2.303571,2.348214,2.285714,2.308036,0.403671,44402400
27/01/1992,2.3125,2.330357,2.294643,2.303571,0.40289,20862800
28/01/1992,2.3125,2.334821,2.25,2.330357,0.407575,43430800
29/01/1992,2.3125,2.348214,2.258929,2.258929,0.395082,36139600
30/01/1992,2.267857,2.276786,2.241071,2.276786,0.398205,21778400
31/01/1992,2.285714,2.330357,2.267857,2.3125,0.404452,36139600
03/02/1992,2.3125,2.366071,2.303571,2.348214,0.410698,39533200
04/02/1992,2.348214,2.366071,2.321429,2.348214,0.410698,48232800
05/02/1992,2.366071,2.383929,2.325893,2.361607,0.413041,40376000
06/02/1992,2.348214,2.357143,2.285714,2.290179,0.400548,23284800
07/02/1992,2.294643,2.3125,2.241071,2.285714,0.399767,36884400
10/02/1992,2.285714,2.294643,2.25,2.254464,0.394302,21610400
11/02/1992,2.25,2.276786,2.223214,2.245536,0.39274,30503200
12/02/1992,2.276786,2.339286,2.25,2.330357,0.407575,34490400
13/02/1992,2.330357,2.330357,2.276786,2.294643,0.401329,19003600
14/02/1992,2.276786,2.294643,2.258929,2.290179,0.422651,18146800
18/02/1992,2.294643,2.303571,2.241071,2.241071,0.413588,17088400
19/02/1992,2.241071,2.25,2.205357,2.214286,0.408645,23917600
20/02/1992,2.232143,2.3125,2.223214,2.308036,0.425946,32715200
21/02/1992,2.3125,2.339286,2.303571,2.321429,0.428418,37895200
24/02/1992,2.366071,2.375,2.348214,2.361607,0.435833,42851200
25/02/1992,2.366071,2.446429,2.330357,2.446429,0.451487,56803600
26/02/1992,2.4375,2.5,2.4375,2.495536,0.460549,57271200
27/02/1992,2.5,2.5,2.428571,2.446429,0.451487,30542400
28/02/1992,2.446429,2.464286,2.392857,2.410714,0.444896,22598800
02/03/1992,2.419643,2.446429,2.401786,2.401786,0.443248,22313200
03/03/1992,2.419643,2.428571,2.366071,2.370536,0.437481,24819200
04/03/1992,2.366071,2.383929,2.3125,2.321429,0.428418,28842800
05/03/1992,2.303571,2.339286,2.25,2.267857,0.418531,59180800
06/03/1992,2.267857,2.285714,2.25,2.285714,0.421827,33572000
09/03/1992,2.276786,2.294643,2.267857,2.276786,0.420179,27235600
10/03/1992,2.285714,2.3125,2.276786,2.276786,0.420179,30674000
11/03/1992,2.276786,2.294643,2.25,2.258929,0.416884,32914000
12/03/1992,2.258929,2.276786,2.196429,2.241071,0.413588,38225600
13/03/1992,2.258929,2.276786,2.214286,2.254464,0.41606,19796000
16/03/1992,2.241071,2.267857,2.205357,2.263393,0.417707,14072800
17/03/1992,2.267857,2.276786,2.241071,2.245536,0.414412,21274400
18/03/1992,2.258929,2.285714,2.25,2.276786,0.420179,20258000
19/03/1992,2.276786,2.276786,2.241071,2.25,0.415236,29629600
20/03/1992,2.25,2.258929,2.25,2.258929,0.416884,13540800
23/03/1992,2.25,2.276786,2.25,2.25,0.415236,12518800
24/03/1992,2.267857,2.321429,2.258929,2.321429,0.428418,52354400
25/03/1992,2.321429,2.321429,2.294643,2.303571,0.425122,30388400
26/03/1992,2.3125,2.330357,2.276786,2.285714,0.421827,30755200
27/03/1992,2.28125,2.285714,2.160714,2.178571,0.402054,66133200
30/03/1992,2.1875,2.1875,2.0625,2.075893,0.383104,84758800
31/03/1992,2.080357,2.133929,2.071429,2.080357,0.383928,53158000
01/04/1992,2.044643,2.116071,2.044643,2.107143,0.388872,39914000
02/04/1992,2.107143,2.125,2.084821,2.098214,0.387224,33493600
03/04/1992,2.098214,2.116071,2.089286,2.107143,0.388872,29114400
06/04/1992,2.107143,2.178571,2.107143,2.169643,0.400406,25496800
07/04/1992,2.178571,2.1875,2.044643,2.044643,0.377337,57554000
08/04/1992,2.035714,2.035714,1.955357,1.995536,0.368275,91756000
09/04/1992,2,2.080357,1.973214,2.044643,0.377337,48034000
10/04/1992,2.044643,2.053571,1.964286,1.982143,0.365803,68516000
13/04/1992,1.982143,2.026786,1.973214,2.017857,0.372394,30707600
14/04/1992,2.0625,2.116071,2.044643,2.098214,0.387224,36100400
15/04/1992,2.071429,2.174107,2.053571,2.160714,0.398758,54339600
16/04/1992,2.151786,2.169643,2.089286,2.107143,0.388872,64671600
